Taxon	72v3.B	60v2.B	11v2.B	75v3.A	36v5.A	70v4.B	219v4.A	76v5.A	190v5.B	61v2.A	9v5.A	20v4.A	86v3.A	82v4.B	82v2.B	14v3.A	195v4.A	190v2.B	60v5.B	143v4.A	195v5.A	20v2.A	85v3.A	99v3.B	37v2.A	29v2.B	12v2.B	12v3.B	20v3.A	2v5.A	56v4.B	51v4.B	195v3.A	28v5.A	36v4.A	29v3.B	97v4.A	77v2.A	182v5.B	73v2.B	80v3.B	31v5.A	61v3.A	9v4.A	204v4.B	16v3.B	18v2.A	193v3.B	221v4.B	33v4.B	204v5.B	31v2.A	193v2.B	48v5.A	16v5.B	97v5.A	40v5.B	75v5.A	17v3.A	85v4.A	13v4.A	44v3.B	13v5.A	55v2.A	182v4.B	80v4.B	55v5.A	54v2.B	7v5.A	54v3.B	77v3.A	17v5.A	78v5.B	204v3.B	2v2.A	129v4.A	84v5.A	79v2.B	34v2.B	91v5.A	116v5.A	84v4.A	9v3.A	30v3.B	99v2.B	36v2.A	73v5.B	2v4.A	143v3.A	4v5.A	89v5.B	71v2.B	78v2.B	11v4.B	73v3.B	18v3.A	18v5.A	120v4.A	193v4.B	15v4.A	219v5.A	34v5.B	60v3.B	97v3.A	22v2.A	19v3.B	37v4.A	120v2.A	72v2.B	78v4.B	16v2.B	76v4.A	84v3.A	108v3.B	28v2.A	14v2.A	90v3.A	79v3.B	61v4.A	22v5.A	190v4.B	89v2.B	17v2.A	31v4.A	116v4.A	64v2.A	15v3.A	11v5.B	7v4.A	78v3.B	12v5.B	108v2.B	89v4.B	221v2.B	6v4.B	80v2.B.A48	29v4.B	116v2.A	85v5.A	91v3.A	30v4.B	129v5.A	4v2.A	221v5.B	26v2.B	28v4.A	60v4.B	55v3.A	28v3.A	33v2.B	7v2.A	54v4.B	70v5.B	2v3.A	91v4.A	64v4.A	76v2.A	71v4.B	90v2.A	51v5.B	26v4.B	34v3.B	97v2.A	26v3.B	5v5.B	44v2.B	56v5.B	18v4.A	16v4.B	5v4.B	129v3.A	70v3.B	73v4.B	72v5.B	193v5.B	9v2.A	86v2.A	30v2.B	71v3.B	108v4.B	40v2.B	40v3.B	86v5.A	31v3.A	6v2.B	13v2.A	77v5.A	14v5.A	72v4.B	56v3.B	56v2.B	36v3.A	34v4.B	75v4.A	6v5.B	15v5.A	4v3.A	51v3.B	19v5.B	182v2.B	37v5.A	44v5.B	129v2.A	4v4.A	90v4.A	5v3.B	75v2.A	71v5.B	79v4.B	66v5.A	37v3.A	30v5.B	204v2.B	85v2.A	13v3.A	48v4.A	12v4.B	143v2.A	40v4.B	143v5.A	22v4.A	108v5.B	19v2.B	64v3.A	190v3.B	89v3.B	15v2.A	66v4.A	219v3.A	66v2.A	77v4.A	54v5.B	11v3.B	55v4.A	76v3.A	182v3.B	20v5.A	61v5.A	82v3.B	86v4.A	33v5.B	80v5.B	120v5.A	14v4.A	22v3.A	48v2.A	48v3.A	26v5.B	116v3.A	120v3.A	6v3.B	82v5.B	195v2.A	99v5.B	64v5.A	19v4.B	27v2.B	99v4.B	91v2.A	5v2.B	70v2.B	33v3.B	17v4.A	44v4.B	84v2.A	27v3.B	27v4.B	90v5.A	79v5.B	27v5.B	219v2.A	51v2.B	66v3.A	221v3.B	7v3.A	29v5.B
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella	18.6	5.6	9.4	2.1	358	174.3	62.9	642.9	141.1	162.8	2.1	37.5	2.1	161.1	741.8	2.7	196	286.2	3.7	366.2	430.4	23.9	287.8	39.5	233	57.5	2.1	2.1	12.3	2.1	2.1	103.7	3.4	59.7	374	2.1	48.5	1200.9	259.9	177.9	153.7	39.4	13.8	2.4	38.5	2.1	12.6	88.9	34.4	125.6	104.9	17.3	33.4	1633.9	13.5	52.4	973.9	2.1	2.1	369.7	39.8	33.1	18.9	57.4	60.6	706.5	29.9	68	129.4	9.5	204	2.1	2.1	15.8	2.1	260.2	302.3	55.3	990.5	12.2	2.1	652.8	3.1	3.1	26.4	342.2	224.9	2.1	28.7	46.1	393.3	30.2	2.1	14.4	2.7	8.1	138.9	29.9	2.1	2.1	37	1244.4	3.4	45.8	68.8	2.1	820.3	32.8	52.1	2.1	16.3	175.7	219.5	9.1	107.4	35.9	436.7	4.6	68.8	225.6	948.3	62.2	2.1	59.1	2.1	331.2	2.1	5.9	941.6	2.1	2.1	74.8	164.7	13.8	111.2	871.1	20.8	14.8	650	2.4	5.6	133.8	63.5	35.4	94.2	36.9	9.1	59.3	7.8	180.7	399.3	8.2	366.4	2.1	24.5	181.2	247.5	19.2	2138.4	14.1	65.4	16.4	26.1	38.5	2.1	110.3	2.1	10.3	10	2.1	2.8	201.9	227.3	42	17	368.7	2.7	16.4	2.7	41.4	899.3	206	2.7	6.9	75	153.6	2867.8	20.8	57.5	2.1	2.1	14.8	1088.9	2.4	94.1	2.1	6.6	12.2	59.7	97.3	279	115.1	108.7	103.4	1002	2.1	2.4	13.2	89.4	80.7	21.4	19.5	240.9	891.7	5.6	1517.4	2.1	157.7	1457.7	252.8	113	178.1	17	74.5	2.1	45.2	2.1	163.7	14.8	142.3	845.5	58.4	2.1	56.2	446.9	11.3	38.5	178.1	2.1	2.4	189.5	429.5	76.4	18.2	113.6	576.2	84.4	150.9	2.1	10.3	5.3	96.5	261.2	24.8	526.3	53.4	31.2	63.5	68.1	2.1	25.5	4.3	2.4	145.8	15.7	8.1	36.3	993.5	56.8	15.1	71.3	63	22.7	9.4	16.4	22
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides	866	24.8	29.8	34.9	16.5	7.7	52.3	7.4	4.5	21.2	52	12.7	4.5	70.1	58	52.9	10.3	4.5	5.5	37.1	19.1	32	53.2	125.5	11.5	4.5	4.8	4.8	53	4.5	155.6	32	13.1	7.4	68.1	4.5	36.1	137.7	50.3	41.2	413.5	6.4	133.5	34	66.8	97.2	13.7	5.7	441	6.8	51	4.8	41	55.2	19.7	38.1	7.4	24.8	52.6	13.7	210.5	417.1	51.7	17.4	37.4	9	15.6	4.8	28.9	7.7	63.4	37.7	5.5	121.2	4.5	20.6	16.3	37.1	130.5	88.5	34.6	32.7	4.8	5.1	17.1	27.6	50.4	4.5	100	23.3	62	39.3	7.7	73.2	129.1	9.9	6.1	82	16.2	120	21.6	23.2	44.4	16.3	32.7	479.6	7.3	25.3	40.5	7.4	21.9	6.7	53.3	754.5	17.9	20.7	187.3	606.5	25.1	59.9	4.5	123.1	128.4	6.4	51.1	22.8	345.3	53.9	46.5	449.3	4.5	15.2	283.5	39.6	26	6.4	4.8	19.8	4.8	1198.4	12.4	5.1	44	233.9	9.5	18.7	14.3	19.4	71.3	11.5	9.7	4.5	41.8	4.5	164.4	28.5	14.9	46.8	15.7	11.5	47.9	732.3	15.3	51.1	8.7	60.1	131.6	6.1	18.1	9.3	4.5	31	28.8	69.6	30.9	34.6	4.5	64	551.2	4.5	38.3	190.1	4.8	20.1	11.5	18.5	38.3	14	65.9	204.8	19.3	230.3	15.3	136.1	13.1	55.8	129	54.7	9.2	50.1	16.9	67.4	16.5	14.7	24.2	19.1	165.5	30.4	156.3	125.1	27.6	4.5	84.4	16.6	100.4	177.9	4.5	10.5	69	12.7	76.4	24.1	17.5	79.1	4.5	253.9	39.9	141.2	117.9	24.1	13.7	8.3	438.2	27	32.1	206.2	9.3	70.9	249.1	4.5	7.9	7.7	179.5	33.3	395.9	32.7	443.3	6.7	176.6	35	24.8	22.8	9.6	32.6	13.4	11.5	36.8	7.6	32	4.5	8.9	806.7	130.3	122.8	61.4	18.1	9	17.5	163.6	74.8	83.2	17.8	409.1	401.5	1110.8	4.5
k__Bacteria; p__Firmicutes; c__Bacilli; o__Turicibacterales; f__Turicibacteraceae; g__Turicibacter	2.7	5.9	7.8	8.4	38.8	11.5	6.8	2.7	8.2	4.6	3	41.2	2.7	3.3	39	2.7	15.4	2.7	19.4	3	4.3	5.2	2.7	38.5	11.3	2.7	3.7	2.7	2.7	11.9	5.6	13.1	2.7	2.7	64.3	2.7	11.3	703.9	17.3	51.1	2.7	2.7	2.7	3	3.7	2.7	2.7	7.1	4.7	2.7	2.7	3.7	5.2	3.3	5.2	4.6	34.4	3	3.3	3.3	52.8	2.7	99.6	10	38.2	18.8	11	4.3	5.3	2.7	3	15.7	37.9	2.7	10.7	4.3	73.3	28.7	5.3	8.5	34.7	26.4	2.7	3.7	59	35.5	68.5	64.5	2.7	23	36.2	2.7	2.7	39.3	23.6	2.7	3.3	2.7	3	2.7	3.7	4.7	18.8	2.7	7.2	2.7	105.2	2.7	4.6	2.7	3	3.7	12.2	2.7	3.3	5.9	2.7	2.7	3.3	10	19.5	31.5	17	2.7	40.8	4.6	3.3	3.3	37.2	2.7	2.7	3	17.3	5.9	26.7	117.2	3	23.6	7.8	2.7	3.3	4.3	29.6	5.6	3.3	3.3	64.7	58.4	2.7	2.7	14.1	10.4	85	5.6	15.4	130.9	23.6	3	4.6	39.3	2.7	2.7	4.9	2.7	2.7	125.2	4.6	2.7	6.2	3	3	4.3	252.6	2.7	3	4	6.5	21.3	2.7	5.9	3.3	3	17.9	3.3	26.1	9.3	105.8	8.7	16.3	35	2.7	3.3	3	28.7	43.8	3.7	4.3	4	3	3	10	567.9	6.2	3.6	34.3	3	97.4	4.9	2.7	9.3	3.7	6.5	5.6	7.5	3	2.7	2.7	3.3	52.3	2.7	10	3.6	2.7	2.7	2.7	2.7	2.7	40.6	2.7	717.2	11.6	4	2.7	47.3	4	2.7	10.6	4.9	6	6.2	3.3	18.2	4.3	7.5	2.7	2.7	2.7	3	7.1	2.7	3	2.7	3.3	23	57.3	2.7	13.4	6.2	7.2	2.7	8.4	2.7	3.3	91.2	3	4	27.1	14.4	11.5	5.5	2.7	3.6	2.7	2.7	3	2.7
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__ClostridiaceaeFA	32.7	24.7	6.7	5.1	62.4	5.4	5.1	65.5	17.9	114.4	15.6	43	4.8	9.5	1170.7	4.8	10.2	14.6	4.8	8.6	5.8	75	4.8	35.2	8.7	7.4	5.1	4.8	40.2	31.7	9.6	555.9	5.1	32.1	152.8	5.8	10.1	31.6	24.8	387.9	4.8	4.8	5.1	20.6	43.4	4.8	41.9	6.7	5.8	6.7	84.8	16.8	13.7	4.8	13.9	27.6	35.5	4.8	6.4	142.5	49.1	51.3	40.9	15.3	73.7	42.8	5.4	22.5	5.7	5.5	4.8	15.5	4.8	5.1	6.1	91.4	86.7	129.5	136.9	7	38	50.6	4.8	8	149.9	145.1	145.4	105.3	4.8	7.4	59.8	37.3	10.5	14.3	43.1	29.9	90.5	6.7	4.8	4.8	5.5	5.4	16.8	5.1	14.9	4.8	55.5	5.1	7	4.8	91.3	20	5.1	5.1	17.5	35.5	4.8	4.8	101.9	21.6	36.3	5.7	110.4	5.4	35.3	391.2	5.1	9.9	5.4	4.8	8.6	11.2	52.6	4.8	58.8	50.7	48.5	173	9.6	4.8	6.7	21	8	28.6	5.4	8.9	12.1	81.9	4.8	14	9.9	41.1	49	5.1	63.9	953.2	12.7	4.8	110	94.8	53.5	4.8	45.7	4.8	15.6	242.2	10.5	60.8	15.2	4.8	5.4	6.7	884.9	10.8	7.3	7	102.8	5.1	4.8	4.8	7	5.1	9.5	4.8	17.1	114.9	53.9	53.5	36.8	8	229.7	4.8	8.3	13.4	55.7	5.7	7.7	152.9	52.3	5.4	54.5	833.1	460.1	4.8	5.1	11.4	101.3	44.7	4.8	45	5.1	37.4	156.1	8	11.5	4.8	24.4	6.4	86	27.3	16.3	5.8	48.5	4.8	25.1	4.8	4.8	209	4.8	543.1	10.2	8.3	4.8	61.1	10.2	5.4	98.5	62.3	146	8.2	6.1	47.9	13.9	172.9	4.8	4.8	4.8	217.2	10.2	4.8	99.1	4.8	5.1	52.9	573.1	21.3	15.6	9.2	4.8	5.8	11.1	4.8	121.5	323.2	4.8	5.5	83.9	34.5	63.3	24.4	20.9	260.2	6.4	5.5	5.1	8.9
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__EnterobacteriaceaeFA	699.4	53.6	4	3.1	16.4	8.1	4	3.4	10.3	10	8.1	8.4	705	12.8	11	507	2.4	3.1	4	4.3	6.5	9.4	46.4	86.7	2.4	4.6	4.3	45.8	120.8	143.4	92.8	2.1	2168.1	8.1	51.5	2.1	3.4	32.7	5	2.1	64.4	2.7	30.3	28.1	2.4	2083	8.4	4.3	157	4.3	2.7	3.7	28.7	151.8	2.7	2.4	2.1	14.8	5	3.1	73	24.2	3.7	7.5	3.1	106.9	4	2.1	3.4	5536.9	23.6	2.1	3.1	3.4	2.7	2.4	3.7	2.1	58	3.1	2.7	2.4	4695.1	2.1	2.4	2.7	832	446.7	15.1	2.4	20.8	3.4	2.4	4	6.2	2.1	7.8	2.1	6.9	4.3	3.4	10	46	767.8	21.4	6.2	4.6	2.1	2.1	5	2.4	7.2	69.2	13.8	12.9	13.8	168.9	193.2	2.1	148.3	68.9	32.1	30.2	3.7	3.1	4.3	7.5	6.9	3.7	316.8	3.7	2.1	7.5	2.1	417	75.2	4.6	2.1	4	714.4	2.4	2.1	8.1	74.3	2.1	3.7	13.8	13.8	7.2	2.4	2.4	7.2	25.8	751.4	2.7	12.2	2.1	2.4	43.8	2.1	7.2	1101.4	2.4	12.6	2.1	2.4	14.4	2.1	41.9	9.1	2.1	15.7	207.1	2.4	3.4	9.1	3.1	2.1	14.8	2.1	6.5	2.4	2.1	1016.3	5.9	30.9	76.7	2.7	4.3	659.2	3.4	189.3	2.4	13.8	9.1	4	505.3	274.5	2.1	2.1	2.4	4.3	6.9	2.4	7.8	2.1	15.4	2.1	2.1	2.1	3.1	2.7	4.6	6.5	1485.1	380.1	2.7	2.1	2.7	2.1	80	3.7	11.6	273.3	33.5	65.4	4.3	2.1	5.3	2.1	2.1	6.9	897.1	544.4	2.1	886	5.6	8.1	987.3	2.7	2.1	123.3	2.7	20.1	43.3	2.1	632.9	2.1	2.4	44.2	3.7	35.3	5.6	2.1	3.7	2.1	9.1	2.1	3.4	2.1	3.1	1651.4	2.1	2.7	296.7	38.9	2.4	30.6	3.7	4.3	3.1	2.4	6.2	4.7	3681.2	10.3
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae;Other	2087.7	0.6	1.9	0.6	2.5	1.9	0.6	0.9	30.1	0.6	8.5	2.5	0.9	0.9	0.9	1.2	3.5	927.1	0.6	3.1	1.2	0.6	7.9	0.9	0.6	0.6	0.6	0.6	35.4	230.3	0.6	0.6	7.9	0.9	3.5	2990.9	0.6	0.6	2.5	0.6	327.9	0.6	9.8	7.9	0.9	0.6	0.9	0.6	814.2	15.5	0.6	6.9	1.6	0.6	0.6	0.6	0.6	0.6	180.9	0.6	0.9	25.3	25.3	0.6	1.9	0.6	0.6	0.6	0.6	263.1	44.8	24.6	0.6	0.6	0.9	9.8	0.9	0.6	0.9	0.6	157.9	1.2	2676.3	0.6	0.6	2.5	1.6	8.9	33.5	0.6	0.6	0.9	0.6	0.9	2.8	0.9	48.6	0.9	3.1	0.9	0.6	36.3	0.6	5.1	6.3	2906.5	1.2	0.9	1.2	0.6	0.6	0.6	1.2	31.3	0.6	1.2	0.6	17.4	0.6	71.8	191	0.6	53.7	0.6	38	1.6	168	2.5	0.6	45.6	0.6	0.6	0.6	0.6	14.5	0.9	1.9	0.6	0.6	0.6	0.6	3.1	2.5	41.8	2.2	0.9	1.9	0.6	3.5	0.6	0.6	26.9	1.6	2.2	0.6	3.1	0.9	1.2	0.6	0.6	0.6	343.4	0.6	285.9	5.4	0.6	0.9	0.6	0.6	18.4	9400.4	1.6	5	4.4	0.9	0.9	0.6	0.6	2.8	0.9	0.6	1.2	1.9	26.6	0.6	0.6	0.6	0.6	7.9	1.9	0.6	20.9	0.6	0.6	0.6	0.6	1.3	0.6	0.6	1.9	0.6	1.9	5.4	0.6	0.6	3.2	48.1	0.6	0.6	1.2	0.6	0.6	0.6	0.6	38.6	0.6	0.6	1.9	0.6	1.6	175.4	0.6	0.9	39.2	4680.1	8.8	0.6	0.6	0.9	1.2	2.2	1.6	16.5	0.9	0.6	1.2	5.7	0.6	1584	1.2	0.6	4.7	0.6	0.6	1212.9	0.6	15.2	0.6	3671.7	1.2	25.3	0.9	1.6	0.6	2.2	8.5	0.6	0.6	0.6	0.6	2.5	292.1	31	3.5	0.9	2114.6	1.6	0.6	0.6	0.9	0.6	1.9	1155	323.4	632.3	0.6
